(22537, 23397, 34230)
(4030, 33821, 34353)
(4881, 19688, 24557)
(11571, 15087, 22336)
(282, 27245, 32039)
(7135, 10520, 30106)
(1232, 12845, 33862)
(17461, 19588, 30768)
(23950, 26145, 36098)
(7397, 20435, 25742)
(22398, 26697, 27073)
(7340, 22567, 30746)
(9088, 23003, 27863)
(12114, 27237, 31049)
(4996, 33838, 37738)
(23666, 26053, 29282)
(7495, 12397, 22464)
(14454, 17396, 28699)
(13086, 19819, 33029)
(23257, 29272, 29688)
(6408, 11213, 13413)
(6878, 15408, 24198)
(8367, 28248, 29378)
(18858, 27618, 28262)
(17275, 25837, 27663)
(14306, 28234, 34272)
(15455, 18600, 21528)
(13032, 20891, 21443)
(18148, 18506, 30548)
(9512, 15340, 26476)
(221, 12756, 34484)
(19495, 23802, 25877)
(2290, 24865, 25684)
(20808, 26534, 35494)
(4910, 5022, 26184)
(21298, 33224, 34566)
(2009, 16475, 24573)
(19714, 20314, 27879)
(6658, 14046, 20388)
(11050, 29135, 31578)
(16827, 24674, 27540)
(672, 7540, 9390)
(21794, 29197, 34094)
(3833, 13100, 33680)
(3816, 3927, 15955)
(19045, 25392, 35319)
(878, 15407, 32637)
(6154, 33250, 35824)
(13008, 17934, 31203)
(14907, 30669, 33664)
(944, 2085, 11331)
(558, 19611, 31591)
(6666, 27634, 28760)
(5141, 31022, 31073)
(4551, 28348, 31616)
(6512, 15143, 16823)
(20150, 28172, 32424)
(4321, 16681, 23460)
(10749, 16643, 23329)
(9404, 13938, 33701)
(20352, 23256, 31185)
(22096, 24592, 26322)
(25914, 36776, 37185)
(1595, 16173, 26191)
(14352, 22789, 32710)
(6185, 24989, 37582)
(14901, 16177, 21703)
(27245, 34945, 36212)
(10742, 17120, 23980)
(640, 15376, 27837)
(4214, 6186, 15303)
(5608, 11549, 17635)
(16240, 25016, 33977)
(2729, 3292, 28627)
(17683, 26447, 29976)
(2388, 5821, 28315)
(8307, 21179, 24936)
(2156, 6441, 38277)
(1338, 11052, 21761)
(6594, 10041, 11168)
(21056, 29111, 36357)
(9899, 16572, 19478)
(9602, 9877, 12083)
(7489, 25471, 37800)
(5524, 5586, 33769)
(9752, 18215, 19226)
(13207, 24264, 30934)
(15640, 18587, 21212)
(17441, 27743, 31463)
(31613, 31726, 40528)
(1951, 16888, 18063)
(7071, 23620, 27329)
(4232, 26875, 37147)
(14896, 24237, 29986)
(7444, 14032, 31077)
(1719, 20250, 23346)
(22854, 25772, 36117)
(17432, 24220, 25420)
(10239, 18996, 23022)
(8174, 24587, 26758)
(30263, 33962, 36163)
(5694, 8552, 34519)
(5374, 16086, 20020)
(1647, 38182, 38564)
(5038, 7874, 19234)
(7681, 10408, 19903)
(4128, 6685, 17056)
(4145, 24194, 37832)
(23353, 24454, 33274)
(7311, 9943, 17583)
(9826, 21691, 24266)
(15152, 30663, 35816)
(8321, 23238, 25242)
(915, 22228, 30192)
(16015, 38014, 40026)
(4051, 15386, 32090)
