(7941, 9699)
(8033,)
(3058, 3932)
(559, 9191)
(1151, 9006)
(2631, 9305)
(1541, 3509)
(3802, 6637)
(6274, 6936)
(957, 7211)
(7706, 9852)
(475, 4056)
(9515,)
(9548, 10037)
(1727, 7960)
(5399, 8869)
(2103, 3786)
(1473, 4688)
(9245, 9616)
(2557, 9832)
(1222, 4267)
(736, 9506)
(792, 4934)
(1860, 3705)
(4753, 8538)
(5624, 9779)
(5444, 9608)
(3194, 9372)
(7433, 9378)
(2367, 5317)
(2751,)
(1140, 6446)
(1742, 8366)
(4144, 10061)
(1518, 3875)
(3184, 4774)
(956, 6231)
(5361, 6018)
(7532, 9216)
(4707, 8715)
(1483, 6603)
(9462,)
(3835, 8655)
(2616, 6585)
(1017, 7670)
(4811, 8774)
(1190, 8609)
(6223, 8879)
(313,)
(1225, 7133)
(2852, 5311)
(9626,)
(905, 7477)
(2218, 4840)
(403,)
(3903, 5205)
(7619, 9006)
(7745,)
(6696,)
(3821,)
(3820, 9942)
(2974, 6029)
(9112,)
(4281, 7685)
(9859, 9986)
(1117, 9054)
(8434,)
(617, 1624)
(5695, 9946)
(399, 9607)
(4834, 8089)
(131, 8266)
(4070, 8310)
(5492, 7313)
(2023, 9747)
(5718, 8764)
(7924, 9755)
(680, 2360)
(7649, 9657)
(6469, 6764)
(6906, 9935)
(370, 6875)
(3365, 9995)
(3765, 8679)
(5159, 8311)
(3805, 4084)
(885,)
(292, 4424)
(2740, 7938)
(9279, 9668)
(8414, 9782)
(909, 6248)
(3301, 9242)
(2800, 8175)
(8241, 8597)
(1863, 7618)
(1002, 9184)
(147, 9184)
(2245, 7521)
(80, 8525)
(9594,)
(2128, 8547)
(131, 6787)
(3177, 3327)
(4730, 6424)
(8707,)
(5694, 9242)
(7432,)
(9451, 10013)
(1510,)
(461,)
(2360, 3299)
(4429, 5729)
(4423, 9463)
(790, 9718)
(67, 4823)
(4124, 5247)
(2850, 9438)
(6562, 9871)
(1222, 2905)
(523, 9713)
(1699,)
(1639, 6966)
(9170,)
(4800, 6389)
(195, 4928)
(1221, 10025)
(842, 4079)
(510, 651)
(1084, 1241)
(5248, 8413)
(8754, 9009)
(741, 9384)
(6941, 6996)
(1111,)
(453, 9460)
(2875, 6321)
(6794, 9311)
(3574, 9694)
(1185,)
(2252, 5160)
(9235,)
(8656,)
(3852, 8675)
(7616, 8925)
(9291, 10090)
(4981, 9700)
(5940, 8713)
(1938, 5387)
(462, 9417)
(845, 1303)
(8090, 9248)
(943, 8204)
(1647, 4259)
(9930, 10030)
(34, 9167)
(7385, 8549)
(602, 4886)
(195, 3523, 6364)
(7433, 8685)
(379, 9912)
(9984,)
(2359, 4752)
(5852,)
(3529, 5313)
(739, 9975)
(6686, 8561)
(86, 3924)
(4340, 9836)
(2508, 9549)
(8321, 9982)
(5243, 9726)
(1810,)
(3184, 7817)
(2930, 8615)
(2752, 3076)
(4941, 8534)
(2019, 9265)
(923, 2677)
(1905, 6059)
(2205, 2997)
(2334, 6300)
(2720, 7818)
(2274, 7832)
(9396,)
(5114, 6168)
(4635, 9387)
(3352, 7745)
(1099, 2317)
(6321, 9758)
(2895, 8715)
(7325, 9140)
(434, 6409)
(338, 7400)
(928, 10050)
(5761,)
(1664, 2346)
(8524, 9378)
(5702, 9262)
(9841,)
(1423, 7728)
(8827, 9867)
(4533,)
(1904, 4414)
(2098, 3266)
(7409, 8468)
(9624, 9625)
(8404, 9445)
(5936, 9534)
(6877, 9412)
(814, 8955)
(237, 9482)
(1659, 2048)
(6320, 8136)
(1794, 7415)
(10021,)
(1956, 7461)
(4115, 8613)
(5771,)
(6283, 6808)
(1847,)
(1051, 4388)
(80, 4979)
(3494, 4805)
(1330, 2565)
(2824, 9599)
(7322, 9509)
(8593, 9077, 9281)
(404, 1827)
(8694, 9525)
(3604, 8294)
(64, 5273)
(109, 9228)
(2155, 9905)
(8031, 9786)
(4278, 9276)
(1948, 8022)
(2457, 9990)
(6485, 7754)
(1734, 9530)
(6786, 9786)
(2984, 8043)
(2534, 6616)
(8638, 9331)
(2369, 6624)
(4567, 8669)
(5929, 9811)
(2151, 9460)
(4526, 4874)
(8042, 8213)
(605, 2664)
(1517, 8874)
(4431, 7018)
(6592, 8475)
(6890, 7757)
(911, 3815)
(4531, 6338, 9085)
(296, 3266)
(9292, 9553)
(3350, 4874)
(9952,)
(947, 2716)
(374, 9019)
(7402, 9052)
(8154, 9337)
(3565, 4470)
(8843, 9476)
(7655, 8185)
(6965, 9648)
(537, 3049)
(78, 9174)
(3333, 9162)
(1819, 9881)
(5323, 9335)
(6726, 7729)
(2230, 3148)
(2540, 4868)
(838, 3418)
(2180, 2344)
(1294, 8786)
(6751, 7722)
(910, 1189)
(4213, 8687)
(9410, 9466)
(6677, 7627)
(1817, 8712)
(822, 7364)
(9528,)
(6993, 9678)
(4519, 8074)
(2296, 3190)
(3427, 6074)
(1741, 5078)
(5408, 7512)
(943, 3146)
(809, 2566, 4193)
(1766, 7111)
(1233,)
(1945, 7582)
(1959, 4466)
(1929, 9136)
(6688,)
(1459, 5955)
(7967, 9259)
(3356, 9035)
(658, 1195)
(8848, 9571)
(8482, 9053)
(187, 1710)
(2145, 3543)
(6794, 8550)
(4263, 10073)
(4297, 9913)
(840,)
(8878, 9233)
(5414, 8953)
(1320, 7928)
(416, 7162)
(2679, 3121)
(3590, 3708)
(1520, 6571)
(574, 3476)
(5548, 7932)
(318, 5080)
(7866, 9033)
(1961, 5983)
(3014, 9614)
(4939, 10068)
(6508, 7833)
(6729, 7321)
(416, 3654)
(117, 6884)
(3164,)
(2271, 9739)
(8705,)
(7320, 9966)
(5280, 6903)
(194, 9023)
(6491, 7368)
(653, 5245)
(8164, 9601)
(1018, 7489)
(752, 8633)
(90, 5962)
(54, 6356)
(2875,)
(4810, 9542)
(258, 612)
(3061, 6326)
(1803, 8811)
(4014,)
(2594, 8535)
(3505, 9787)
(6340, 9790)
(3806, 8929)
(767, 5558)
(2014, 3364, 4420)
(5839, 8398)
(2012, 3975)
(8537,)
(64, 7578)
(1737, 8536)
(7405, 8705)
(233, 2669)
(1707, 7308)
(4181, 8920)
(9708, 9789)
(7726, 8152)
(8908, 9066)
(5766, 8439)
(3500,)
(2047, 3230)
(9004, 9505)
(552,)
(2566,)
(9006, 9894)
(9072,)
(4049, 9242)
(602, 1955)
(2882, 3127)
(3387, 4910)
(642,)
(746, 5653)
(1675, 2130)
(5207, 8415)
(2868, 3368)
(2745, 8661)
(3323, 9223)
(59, 171)
(7413, 9776)
(2175, 4755)
(2761, 6336)
(2464, 6198, 7819)
(5553, 9156)
(1103,)
(6154, 9508)
